state_abbr,date,handle,revenue,hold,taxes,primary_key,state,population_total,population_under_18,earnings_median,population_over_18,online,in_person,Ways_to_bet,tax_status,year,month
DC,November 2021,21419454.0,4434922.0,0.207,954592.0,150,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2021,11
DC,December 2021,19220227.0,1398706.0,0.073,456087.0,151,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2021,12
DC,January 2022,18627789.0,1962256.0,0.105,648862.0,152,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2022,1
DC,February 2022,19072856.0,740542.0,0.039,283248.0,153,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2022,2
DC,March 2022,20432718.0,1365996.0,0.067,379705.0,154,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2022,3
DC,April 2022,18379904.0,1431275.0,0.078,429384.0,155,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2022,4
DC,May 2022,17234140.0,2016709.0,0.1169999999999999,545785.0,156,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2022,5
DC,June 2022,13760754.0,999645.0,0.073,311166.0,157,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2022,6
DC,July 2022,11346178.0,1166210.0,0.103,333989.0,158,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2022,7
DC,August 2022,13147645.0,1832685.0,0.139,448312.0,159,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2022,8
DC,September 2022,19361047.0,3530497.0,0.182,847067.0,160,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2022,9
DC,October 2022,24801500.0,3111718.0,0.125,709273.0,161,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2022,10
DC,November 2022,21401682.0,2641693.0,0.123,664840.0,162,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2022,11
DC,December 2022,18665909.0,2410628.0,0.129,619230.0,163,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2022,12
DC,January 2023,20115254.0,1494441.0,0.074,559237.0,164,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2023,1
DC,February 2023,14634828.0,1193982.0,0.0819999999999999,416878.0,165,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2023,2
DC,March 2023,18091768.0,2275690.0,0.126,636507.0,166,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2023,3
DC,April 2023,14052054.0,1418907.0,0.1009999999999999,484145.0,167,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2023,4
DC,May 2023,12532899.0,2024803.0,0.162,540339.0,168,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2023,5
DC,June 2023,11150333.0,484844.0,0.043,119300.0,169,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2023,6
DC,July 2023,7655687.0,1377489.0,0.18,360509.0,170,District of Columbia,670050,125729,72457,544321,YES,YES,Online & In-Person,,2023,7
DE,June 2018,7003725.0,1000247.0,0.143,522962.0,171,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2018,6
DE,July 2018,8214765.0,527115.0,0.064,275671.0,172,Delaware,1003384,208517,41374,794867,NO,YES,In Person Only,,2018,7
